Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Country Code
Afghanistan,Age Dependency Ratio,80,,2020,% of working-age population,,AFG
Armenia,Age Dependency Ratio,48,,2020,% of working-age population,,ARM
Azerbaijan,Age Dependency Ratio,43,,2020,% of working-age population,,AZE
Bangladesh,Age Dependency Ratio,47,,2020,% of working-age population,,BAN
Bhutan,Age Dependency Ratio,45,,2020,% of working-age population,,BHU
Brunei Darussalam,Age Dependency Ratio,39,,2020,% of working-age population,,BRU
Cambodia,Age Dependency Ratio,56,,2020,% of working-age population,,CAM
"China, People's Republic of",Age Dependency Ratio,42,,2020,% of working-age population,,PRC
Cook Islands,Age Dependency Ratio,70,¤,2021,% of working-age population,,COO
Fiji,Age Dependency Ratio,53,,2020,% of working-age population,,FIJ
Georgia,Age Dependency Ratio,55,,2020,% of working-age population,,GEO
"Hong Kong, China",Age Dependency Ratio,45,,2020,% of working-age population,,HKG
India,Age Dependency Ratio,49,,2020,% of working-age population,,IND
Indonesia,Age Dependency Ratio,47,,2020,% of working-age population,,INO
Kazakhstan,Age Dependency Ratio,59,,2020,% of working-age population,,KAZ
Kiribati,Age Dependency Ratio,67,,2020,% of working-age population,,KIR
"Korea, Republic of",Age Dependency Ratio,40,,2020,% of working-age population,,KOR
Kyrgyz Republic,Age Dependency Ratio,60,,2020,% of working-age population,,KGZ
Lao People's Democratic Republic,Age Dependency Ratio,57,,2020,% of working-age population,,LAO
Malaysia,Age Dependency Ratio,44,,2020,% of working-age population,,MAL
Maldives,Age Dependency Ratio,30,,2020,% of working-age population,,MLD
Marshall Islands,Age Dependency Ratio,76,¤,2021,% of working-age population,,RMI
"Micronesia, Federated States of",Age Dependency Ratio,55,,2020,% of working-age population,,FSM
Mongolia,Age Dependency Ratio,55,,2020,% of working-age population,,MON
Myanmar,Age Dependency Ratio,46,,2020,% of working-age population,,MYA
Nauru,Age Dependency Ratio,73,¤,2021,% of working-age population,,NAU
Nepal,Age Dependency Ratio,53,,2020,% of working-age population,,NEP
Niue,Age Dependency Ratio,89,¤,2021,% of working-age population,,NIU
Pakistan,Age Dependency Ratio,64,,2020,% of working-age population,,PAK
Palau,Age Dependency Ratio,56,¤,2021,% of working-age population,,PAL
Papua New Guinea,Age Dependency Ratio,63,,2020,% of working-age population,,PNG
Philippines,Age Dependency Ratio,55,,2020,% of working-age population,,PHI
