DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1986,45785,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1987,47714,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1988,49490,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1989,50708,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1990,52697,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1991,56778,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1992,60324,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1993,63413,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1994,64769,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1995,64085,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1996,64169,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1997,64893,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1998,65592,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,1999,65924,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,2000,65908,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,2001,66089,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,2002,66747,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,2003,69740,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,2004,74598,
ESTAT:DEMO_GIND(1.0),04/04/22 23:00:00,A,AVG,AD,2005,77712,
